username,num_of_stars,review,time
Angela,5,"I love this jacket so much I had to buy a second one! I wore my old one before it got a small hole in it to a concert early in the summer and literally sat in the rain for 3 hours before the show started. I was as dry as could be under this jacket. When I discovered the small hole in it after the concert, and couldn't find a patch kit for it, I bought a second jacket and also bought the matching pants as I plan on using these for backpacking too. I can't say enough about how nice and dry I was. The jacket also acts as a windbreaker as well. Living in Washington state, I'm questioning why I didn't discover this jacket years ago!!! Worth every penny if you're looking to stay truly dry :-)",a year ago
Anna,5,Love this jacket! It’s exactly what I wanted. The colour and fit is perfect. And the price was great too! Super happy with this purchase :),a year ago
Oana,5,Great jacket! Completely waterproof. I love the colour and it fits perfectly,a year ago
Lee,5,"The jacket runs a tad small (XL), fortunately it fits nicely. The pink color is pretty. I've not worn it in a heavy rain, but it was good in a drizzle.",a year ago
mhandzlik,5,"Exactly as described - lightweight, breathable, perfect for Seattle light rain in the summer.",a year ago
Mayra,5,Really satisfied with my new jacket. I tried it under the tap and it was really waterproofing! Loved it!,a year ago
Bunny,5,"I ordered this as I was preparing to return to the muggy, humid, and thunderstorm-y reaches of central Ohio, needing something both breathable and waterproof, as well as light and packable enough to be carried around in a satchel. I was curious to see how Columbia's Omni-Tech compares to the plain Gore-Tex of past jackets I've had. I've forgone my umbrella a few times in order to see how well it works, and I'm very pleased. The jacket's hood stays up reasonably well even in hilltop winds, and it's as waterproof as I'd hoped (no more getting drenched in surprise downpours!). It's compressible, and on days when I don't have a bag, the fabric isn't too slippery for me to tie it around my waist. In humidity, it does okay in terms of breathability, though anything gets sweaty if you're moving around a lot and exerting yourself in that weather (in which case the rain is more a relief than anything). It also makes an excellent windbreaker. On top of all that, it escaped the petty issue I've had with past raincoats: it wasn't unbearably noisy! It crinkles a bit, but it doesn't sound like someone is crumpling paper in my ear when the hood is up. A small thing, but much appreciated! My only complaint would be that, even when fully loosened, it can feel tight around the hips (mine are fairly wide), and wearers with wider hips or larger stomachs might find that a hindrance. All in all, though, a very well-made jacket.",a year ago
Dora P,5,Perfect rain jacket!! Breathable and dries quickly. Tested it out over the weekend.. got caught in a major rainfall and very impressed with the water protection. I definitely recommend.,a year ago
SeattleSue,5,"I go back to this jacket whenever I need a new one. I think this is my 3rd in 10 years, and I've never worn one out, just changed sizes. The construction is great: it keeps me dry and comfortable and it's practically all-season for the PNW. The fabric is what I would consider somewhere between light and medium weight. The mesh lining keeps it from being clammy in warmer temps so in the summer I use it as a windbreaker on the water or in the mountains. The closed seams mean it also keeps me dry and warm when used as an outer layer in cooler temps during spring/fall/winter. It keeps the rain off and I like the adjustable hood. The fit isn't too slim or too bulky--just right! For me, (5'4"") the length is perfect, hitting just below the hips; being shorter, I also appreciate the ability to velcro the cuffs tighter so they aren't too long. Zippers are strong and durable. Best of all, it rolls up nice and compact for stuffing into your pack or luggage--perfect travel jacket!",a year ago
Kylie J,5,Lightweight rain jacket that easily folds up into it's own mesh pocket for easy stowing. Love this - I keep it in my car for those pop-up Florida showers.,a year ago
Annalyse,5,Love this product! Just had to order a new one. Highly Recommend!,a year ago
Sophie S,5,Cute color (peach) and truly waterproof! Bought for layering for skiing but wearing as a light jacket on rainy days too.,a year ago
Picky Shopper,5,My picky daughter loves it. It's fit her very nice.,a year ago
Rylee W,5,"Lightweight, breathable, and waterproof. Just what I was looking for!",a year ago
Dee,5,"I bought this in Safari for a summer trip to Iceland, and it was PERFECT. It was easy to layer, lightweight, and it kept me completely dry. I love that it folds up. I hooked a keychain loop on the zipper of the left pocket (which is where it's folded into) so I could hook it onto my backpack. My only complaint is that there was nothing that explained that to fold the jacket you just shove it into the left pocket, which is an extremely minor complaint. I have no regrets with this purchase, and I fully expect to be wearing it on and off the trail!",a year ago
Stacie,5,Love the color and fit. I normally wear a large but purchased an XL because I want to be able to wear something heavy under it in the fall and winter so it will work nicely. I probably could have gone with a large and it would have been fine it is very generous. I do wish that the material was a little thicker just to give it a little weight but over all very good quality. The length of the jacket is good and the sleeve length is long so the velcro comes in handy to adjust them. I think I will get a lot of use out of this jacket in all 4 seasons. I purchased a the soft shell to wear under it in spring and fall and it will be perfect!,a year ago
N Gee,5,"A nice lightweight and breathable rain jacket. It's the perfect design, fun and stylish.",a year ago
Val,5,Good fit and quality. Columbia can trust to fit well.,a year ago
Paula,5,"Love it. Light jacket, very useful in warmer days when it is raining. Size follows same standards as other Columbia products.",a year ago
Elaine,5,Love the color and it fits perfectly. Color is titled 'Safari' & I will be using the jacket in the Amazon wilds!,a year ago
Reviewer,5,"I enjoy wearing this jacket. Very light and color is very popular among my friends. I sometimes have to walk the dog in rain and garden, it protects me from getting wet. I'm also very happy with xs sizing. I wear petite 2 and this was very good fit. Sleeves were long but there is a velcro to fasten to adjust the length. Very good quality and I'm very satisfied with the purchase.",a year ago
Kathy A,5,I love this rain jacket I have worn it several times for my walks on rainy days. It works well keeps you dry and is breathable very comfortable . Love the look and the colour I am very happy with my purchase .,a year ago
Kat,5,"I've been eyeing a Columbia rain jacket for awhile now and so glad I got one. Material is so great. It holds up wonderfully in even a downpour! I typically wear a large in shirts, so was thinking I would get an XL, but when I tried them on at the store, the Large in this jacket fit perfectly. The color is so beautiful, so will definitely feel stylish even in the rain!",2 years ago
Linda,5,I have had this jacket before and I misplaced it-I really missed it! I purchased a new one and I am really pleased,2 years ago
JenK,5,"I'm 5'2, 198# and bought the XXL. I love this jacket. It's been a while since I've owned a proper rain jacket and this works for me. I chose geranium because why not - it's a rain jacket and odds are it's an overcast day so I need to be seen. The fit is great, the zipper (so far) is sturdy. I've worn it more in the snowfall while taking out the dogs. Roomy pockets and quick to dry. I think will be good in summer and plan to take it with me on hikes.",2 years ago
Gator Girl,5,"I have 2 of these jackets: Black & Navy. My best friend loves my jacket so I bought her one for christmas. Jacket keeps you dry- it's a ""real"" rainjacket vs all the others that leak through material. It's lightweight and comfortable. Some rain jackets feel like plastic... this jacket fits good and doesn't feel like a plastic bag. I would highly recommend it to anyone. If I had any negative it would be to improve the hood- if it had an elastic cloth hoodie attached to the main hood, it would stay forward on your head better and keep the rain off your head better. I also wish they would offer other colors, like Pink, turquoise , etc.",2 years ago
Twin mom,5,"I have 2 of these jackets now, I love them. Keeps me dry and stops the wind!",2 years ago
Chris M,5,It’s comfortable and fits well. Exactly still wanted Excellent service assistance in placing my order,2 years ago
Tati,5,"This rain jacket is absolutely perfect! The sizing is just ride and the color is just as it appears on the website! Coming from a not so rainy city to a very rainy college town has me stuck at what jacket to get since I've never owned one, but this was an amazing pick I made! Can't wait to get a few more in other colors!",2 years ago
LauraW,5,"Bought this jacket a few months ago, I love how light weight it is, great for the spring/fall weather.",2 years ago
ida,5,is waterproof and not too heavy so you can take it wherever you want. I was not cold when i wore a hoodie or sweater under it,2 years ago
Lizi,5,This train jacket is lightweight and very eager resistant. Exactly the product I was looking for/ wanted.,2 years ago
Melissa,5,"I bought this jacket for a vacation where we did a lot of hiking. I was looking for a jacket that was waterproof and wind resistant. This jacket lived up to all my expectations. It kept me dry especially when the wind started blowing the rain. The only things I would change are zipper and add an inside pocket. I wish I could have unzipped the bottom, this would have made it easier bending down to tie shoes or picking up items easier.",2 years ago
Erin,5,"I had a Columbia rain jacket like this for years and wore it to tatters, plan to do the same for this one. I wanted the teal color but waited too long and it sold out in my size but actually the peach is gorgeous and I'm glad I got that one instead. Perfect for layering on my morning walks, I love how lightweight it is.",2 years ago
anna22,5,"I bought this knowing I would need it for football practice and training, but I have used it for so much more. The fit is amazing and the material is so lightweight that I forget I am even wearing it!",2 years ago
MJ,5,"Completely waterproof, comfy and easy to pack. Great lightweight rain jacket.",2 years ago
OutdoorFan,5,"I bought this rain jacket for my wife (who walks daily, rain or shine). Her former jacket left her coming in soggy all the way through, but now she stays dry through the heaviest of downpours. Points!!!",2 years ago
Vic Ky,5,I love this jacket. Bought it for a vacation since the area is known for rainfall out of nowhere. Fits well in most areas but snug on my breast (if you’re bigger than a 38DD(E) size up) I like a bit of tightness their though so I’m happy.,2 years ago
Ab,5,"My husband and I bought Columbia rain jackets for our trip to Iceland on a bit of a splurge for our budget, and we did not regret it. All I can say is that this rain jacket performed as well as any rain jacket up against those odds could. It was totally awesome. The only time it started to give out was when the rain combined with 30mph wind was basically sending stinging water bullets at us. Other than that I used it up to 5 hours at a time in heavy rain and it was just barely starting to get a bit waterlogged by the time we got out of the rain. It is super fast drying (we had only the confines of a camper van to hang clothes in), and works fabulously as a windbreaker. Overall, I would 100% buy this again in the same circumstances. The light blue color was so pretty!",2 years ago
maya m,5,i love rhis jacket so comfy and definitely water proof. fits me really well i ordered xs. long enough and big enough for me to grow. i am 87 pounds and 5'2 for reference. love the jacket love the fit love the look,2 years ago
M,5,"A great, lightweight rain jacket that definitely keeps you dry!",2 years ago
Sandy,5,Exactly what the description says - light rain proof jacket. This item is true to size. This was exactly what i was looking for! Very happy with jacket!,2 years ago
Amy,5,I love it it fits perfect I am wearing it now and it’s warm and keeps me dry from rain,2 years ago
Kmorgan086,5,Great quality and awesome to run in! It's perfect!,2 years ago
Hiker,5,Love this thing. Really breaks the wind and really fits inside it’s pocket!!!,3 years ago
MM,5,"Great jacket, kept me dry! Great for layering, blocks off wind.",3 years ago
qris,5,"Bought this for my wife, she likes the fit. Water repellency and quality is high. Doesn't have pit zips but not expected at this price.",3 years ago
Naty,5,Gery good and comfortable jacket. I Recommend to a people .,3 years ago
Ellie,5,It is my favourite jacket ever. I wear it everyday and very easy to wash. I get lots of compliments too.,3 years ago
JC,5,Love this jacket so much bought another one in a different color.,3 years ago
Bre'a,5,The cut is a bit boxy but all in all a great lightweight jacket. I get compliments all the time on the color. Excellent for spring or summer and a change of pace for winters in Northern California. Pairs well with anything!,3 years ago
Teri,5,Bought it as a gift. Was pleased with my own Columbia jacket and wanted to share.,3 years ago
AE,5,The perfect jacket for the mild drizzly Seattle weather,3 years ago
E Holmes,5,"Comfortable fit, great price. Nice color selection too.",3 years ago
C,5,It’s so comfy and perfect for rainy & cold weather!,3 years ago
Jane C,5,Packable and breathable rain jacket keeping you completely dry. Like the length and side zip pockets for holding items securely. Pretty color that isn't too bright or bold,3 years ago
Vivian,5,I love this jacket very much! It is perfect to wear on a wet day with its brightly tender colour and definitely waterproof fabric!,3 years ago
Madeleine,5,"Has kept me dry so far, nice color and fit. Just a little short above the bum",3 years ago
Cat,5,I am very pleased with my purchase! I wasn't sure how the fit would be as I am normally a petite medium but the medium was perfect. I love that the jacket stuffs into its own pocket and makes it easy to pack for inclement weather.,3 years ago
Ellie,5,I love this coat so much make sure if you buy it you go one size up! It really is true to size as in it will fit like a shirt so if you’re a small or a six got up to a medium and it will give you much better space and you can wear a sweater with it. I love the colour and shipping was super fast. Over all if you’re thinking about this.... get it!!!,3 years ago
Kat74,5,"This is a great jacket, BUT, order a size up if you’re planning to layer. I’m 5’5” 157 lbs, and ordered the large. It’s fine alone, but not for layering. I’m returning for an XL.",3 years ago
Priscilla,5,"It fits good, the sleeves have the right measure and its very light, I love it",3 years ago
IMarie53,5,[This review was collected as part of a promotion.] The fit is good but I should have followed reviews and sized up for a little more room. It is lightweight (think spring and fall) but I bought to wear in warm climates where a rain jacket is needed (think rainforests.),3 years ago
Anonymous,5,[This review was collected as part of a promotion.] Ordered this rain jacket and it arrived quickly and was a perfect fit!,3 years ago
chellaayy,5,"I purchased this rain jacket because it was described as lightweight, waterproof, and had the ability to pack into its pocket. The jacket did check all of those boxes and I was very pleased with its performance in a downpour!",3 years ago
AKJenny,5,"I have two of these, in two different sizes, one medium and one large. The medium is great for summer, when I don't have a lot of layers underneath. The large is a little big, but I can comfortably throw it on over anything I'm wearing that's not waterproof (cute work blazers??) and it keeps me protected through the unexpected. Very happy with this product, always a Columbia fan! (For ref, 5'8"", 145. I have really long arms, long torso, broad shoulders. This style does not narrow at the hips like some other Columbia coats)",3 years ago
Mary53,5,"I haven’t tried it in the rain yet but so far am delighted with the colour, fit, light weight and pack ability. Just what I was looking for.",3 years ago
Jewels20,5,"I ordered the Rouge Pink, Red Orchid and the color is beautiful. I ordered a Medium and am a 34DDD and it fits just fine a bit tight from the breast area not baggy at all only from the arm area. I think that the Large would fit me super baggy though. I think it will do it's job.",3 years ago
MADW,5,Loved the color and the texture of this jacket. It folds small to pack and is light weight!,3 years ago
Oreo9259,5,This jacket is very nice quality and has a vey appealing appearance. I order a size up in case you are wearing something heavy underneath. Fits very well.,3 years ago
PinkFlower,5,"Very pleased with purchase. I'm medium but the Large Size I bought fits perfectly with a little wiggle room. My actual medium size would have been too snug so that it why I chose (Runs a little small). I have very narrow shoulders and even the large fits perfectly around them, so definitely size up if you have broader shoulders.",3 years ago
KathyBee,5,"[This review was collected as part of a promotion.] Ordered this jacket because my last one did not have an interior mesh lining. I wanted a jacket that would keep me cool in the humidity of the MS rain season. The day I got this I had to stand in the rain, and I didn't get wet at all! My mom ordered one after she saw mine and loves it too. I would recommend ordering a size with enough room to fit long sleeve shirts or sweaters if you want to wear this in the winter.",3 years ago
Sayeh,5,"[This review was collected as part of a promotion.] So good! Waterproof, warm enough for summer hikes.",3 years ago
Vmnc,5,"[This review was collected as part of a promotion.] I really like this jacket, works great in the hot summer rain, I like that it doesn’t stick to my skin once it gets wet. I’m 5’3 and 120 lbs, the xs fits me great!",3 years ago
Angiepeg,5,"[This review was collected as part of a promotion.] Great material, and true to size. Color is bright as shown in the picture. Definitely a must for your wardrobe.",3 years ago
shay54,5,[This review was collected as part of a promotion.] this is a really nice jacket. Runs just a little snug but flattering cut.,3 years ago
Dwyeb,5,[This review was collected as part of a promotion.] It’s good and it’s working really well.,3 years ago
LizLee,5,[This review was collected as part of a promotion.] The jacket sleeves run a little large for me but that's cause I have a small frame. I still wear them all the time and it has reached my expectations and I would buy another one in another color if I could.,3 years ago
Samba202,5,[This review was collected as part of a promotion.] This product is great but runs a little large on me . Quality and color is great. I loved it,3 years ago
Canadian82,5,"(This review was collected as part of a promotion.) I've taken this jacket with me to Alaska, and the Canadian rainy west coast. Does a great job of keeping rain out. Adjustable hood and zippered pockets are great. My jacket is over 5 years old and still works great. Highly recommend! Size up if you'd like to wear a fleece underneath for warmth.",3 years ago
Janie67,5,[This review was collected as part of a promotion.] Love this jacket! I have been looking at it for some time!! Lightweight and comfortable.,3 years ago
Bsawyer,5,"[This review was collected as part of a promotion.] I bought this as a light weight option to wear in our crazy Washington state weather, I'm happy to say it works great! I often head to work during the warmest part of the day but come home at night when it's cooler. It's light enough to not make me hot, but warm enough for cooler evenings. Rain proof which comes in handy for unpredictable weather. Packable for camping and other trips. I am so happy I bought this.",3 years ago
Elizabeth7,5,"[This review was collected as part of a promotion.] Needed a good lightweight jacket to be able to run in and this one is perfect! Lightweight, waterproof, hood stays up and can be made tight so no rain gets in! The arms are a tiny bit long but they have Velcro and are easy to adjust/make shorter.",3 years ago
Michele72,5,"[This review was collected as part of a promotion.] This is one of the best online clothing purchases I have made! This jacket looks great, fits great and was a great price! Another high quality product from Columbia. Thank you!",3 years ago
Pamela606,5,"[This review was collected as part of a promotion.] I really like this rain jacket because it fits well, has a hood and is not too heavy or hot. I like to walk every day and can walk in the rain now.",3 years ago
Jack17,5,[This review was collected as part of a promotion.] This is a well made jacket. Very comfortable to wear and looks great..,3 years ago
DoggieMommie,5,"[This review was collected as part of a promotion.] Flat out, this jacket is awesome. Lightweight, super breathable (wore it in 78 degree rainy weather to walk my dogs and DID NOT GET HOT- this is the first raincoat I’ve ever had that didn’t make me feel like I was getting a portable steam treatment!). The sleeves are the ideal length- come down over your hands a bit- cause who wants wet hands?- but could be kept back with the Velcro on the sleeves. The hood is perfect too- comes out over your face but not to the point that you can’t see, just enough to keep your cute mug from getting rained on. Pockets are huge and useful. As if that weren’t enough, the purple color is really pretty!! Seriously, this thing is awesome. Just get it. You won’t regret it!",3 years ago
CanyonWren,5,"[This review was collected as part of a promotion.] Mine kept me dry on a rafting trip in the Grand Canyon last spring, and this one was for my daughter. Each of my kids and I have one of these jackets. They conveniently pack into their pockets for storage and are as thick and durable as you can get and still be fairly breathable. Fit is true to size. I ordered my regular Columbia shirt size and still could fit a fleece under it if needed.",3 years ago
AnikaBee,5,"(This review was collected as part of a promotion.) Packs down reasonably small into one of the hand pockets. Easy to throw into a pack for a ride or a hike. Lightweight, very comfortable and keeps you dry in a downpour!",3 years ago
bonchi,5,"[This review was collected as part of a promotion.] I loved it, it's super light.",3 years ago
HeyyChristina,5,[This review was collected as part of a promotion.] I absolutely love the color and the way it fits. It's a great mid-level rain jacket that will withstand a significant downpour. I love the binding around the wrist.,3 years ago
cbrauer58,5,"[This review was collected as part of a promotion.] Once again, Columbia lives up to its reputation with quality and value. This jacket is very versatile, not only is it waterproof, but windproof as well. I would highly recommend it.",3 years ago
Cassidy1,5,[This review was collected as part of a promotion.] Wonderful Rain jacket. I truly love this product. What a great price!!!!!,3 years ago
DawnML,5,[This review was collected as part of a promotion.] Two of my co-workers have this jacket so I had to get one. I absolutely love it. Perfect for cool weather or warm weather rainy days. Dries quickly. Folds up to be very compact and fit in my work bag.,3 years ago
Eliza09,5,[This review was collected as part of a promotion.] I was needing a raincoat as I enjoy hiking and being active outside. This is perfect. Light-weight. Runs a little larger but I think that’s perfect because I can put a sweatshirt underneath if it’s cooler outside. Highly recommend.,3 years ago
Dilly01,5,"(This review was collected as part of a promotion.) Purchased this jacket and really like it, thanks",3 years ago
Becca1,5,"[This review was collected as part of a promotion.] I was really worry about size but if u order large It's large, just the perfect jacket for a walk in a raining day. Love it.",3 years ago
NB65,5,[This review was collected as part of a promotion.] This rain jacket is great fits well and not to hot for Florida Rainy Season.,3 years ago
Elaine60,5,"[This review was collected as part of a promotion.] Excellent quality rain jacket. Lightweight and waterproof. Would recommend this product to anyone. Thrilled to have it, love the color - I got wild iris. Purchased this at amazing price too.",3 years ago
AlysonP,5,[This review was collected as part of a promotion.] I was very happy with this purchase. It came so fast and I love the jacket!,3 years ago
CT1234,5,[This review was collected as part of a promotion.] I needed a good rain jacket for the summer because I work at a summer camp. This jacket has worked great for me! I love that there's a liner inside that keeps the jacket from sticking to you when it's wet. I ordered the Iris color in Medium and it fits perfectly. I highly recommend this jacket! It would be great for hiking and casual wear.,3 years ago
Watertight66,5,"[This review was collected as part of a promotion.] Always satisfied with the products that come from here this jacket is for my daughter had to buy her one due to i bought my wife one and she enjoys it every rainy day. So my daughter kept asking when can I get her one so I surprise her with this one. This jacket is awesome for the price also the technology of the omni-tech is mind-blowin its breathable but at the same time it don't let any wind to penatrate through it, i know cause I have one as well.",3 years ago
Mallory84,5,[This review was collected as part of a promotion.] I love all Columbia products. I always get my money’s worth with quality Columbia outerwear. The lilac color is beautiful and feminine and I feel pretty wearing it.,3 years ago
KathleenSF,5,"[This review was collected as part of a promotion.] This jacket is just what I was looking for. It will work both as a windbreaker and as a waterproof rain jacket. I love the deep rich cranberry / purple color. It fits me beautifully. I especially like that the pockets have zippers. I have worn it on windy days as I walk my dog. However have not encountered any rainy days yet. Knowing Columbia quality, I have no doubt that it will keep me dry during the worst of downpours.",3 years ago
Meggypoo,5,[This review was collected as part of a promotion.] This is a great product,3 years ago
Cathryn16,5,"[This review was collected as part of a promotion.] This is now my favorite jacket. Repels water, true to size fit, love the color, light weight, and fast delivery.",3 years ago
Erin84,5,"[This review was collected as part of a promotion.] I ordered the dusty iris color and it is so beautiful in person. Sleeves are a tad bit long, but overall fit was true to size. Perfect for spring showers with it being so lightweight",3 years ago
Lilypad,5,[This review was collected as part of a promotion.] With al. The stores closed because of Covid 19 many of us are force to buy online. I was nervous because I was sure how it would look or fit. I was extremely happy that the jacket was perfect. The size was right and the color was true to the picture.,3 years ago
Denice1969,5,[This review was collected as part of a promotion.] This jacket is exactly what I needed. It is perfect for those pop-up Summer downpours. Is is light weight and keeps me completely dry. I keep it in the back seat of my car instead of an umbrella.,3 years ago
Scubaguy,5,[This review was collected as part of a promotion.] This jacket will replace another that is not the same high quality and I expet it to last many trips.,3 years ago
