username,num_of_stars,review,time
Puslinch Shopper,5,"Only sweatpants I want to wear. Fit perfectly, so cozy, and vibrant colour. Love the “Original” fit, slim but not clingy.",2024-02-12
Mimi P,5,These are great. Nothing beats roots sweatpants. I love getting them in different colours,2024-02-09
Diana Birch,5,I love these sweats they are so soft and comfortable,2024-02-09
Michele K,5,These pants are comfortable and wear well. I have the same pair that I bought 20 years ago and they fit the same!,2024-02-05
Alex22,3,"Ordered these for my birthday (Jan 22) with a matching tee. They were taking a while to ship so I reached out (I would rather have a different pair that arrived on my birthday than wait) long story short, they shipped but never arrived",2024-02-05
Mandy1983,5,"I have always put off buying for myself due to price and being plus size. A friend told me about bigger sizes being on sale and I'm so happy with them. They are very comfortable, fit me well and are incredibly soft",2024-01-30
MEls,2,"Material pills very quickly compared to other brands. Fits well, straight cut. Not super flattering but straightforward.",2024-01-29
Lico,5,"Love these ladies sweats, fit perfect and super soft!",2024-01-23
Jsott,4,Love these. Most comfortable pants I own! You need a pair!,2024-01-21
Fan favorite,5,Excellent fit and comfort. I always buy roots because of the quality.,2024-01-16
Riham,1,"Ordered pink organic originalsweatpant, paid full price and expected a good quality from Roots, I was shocked when I received my order seeing the fabric is already lint before wearing it or washing it. It's not my first roots sweatpant. Very disappointed.",2024-01-15
Lee M.,5,"Love them! The perfect sweatpants. The perfect weight, perfect softness and they have pockets!!",2024-01-14
L San,4,Still the best track pants ever but I do miss when they were baggy and not so fitted…,2024-01-14
Irish!,3,I wish petite size is an option! Im 5ft so it's quite long for me.,2024-01-10
WFH Mama,4,These are very soft and comfy. They do stretch and get baggy after wearing them for an hour or two. Best to size down when ordering.,2024-01-11
Doni,5,Absolutely love this sweatpants. Thick enough to keep my legs warm when trekking through the trails. So comfortable to wear and yet it still looks good.,2024-01-08
Brynn,5,So comfy and roomy! I want to wear them all the time!,2024-01-02
Kare m,3,"The sweats are too thin, walmarts canadiana brand is much better quality",2023-12-31
Gymfreak.,5,I love it so much that I have 5 original joggers and only if they make it also in Terry material 👌,2023-12-21
Josephine M.,5,Very comfortable fit. Soft to the touch. A pleasure to wear.,2023-12-19
Naturegal3,5,Great pants. They look very comfy. I'm giving them as a gift.,2023-12-16
Cozy Winter,5,"I am a woman, 5'6"", 130 pounds and the small fits great. Very comfortable and still slightly fitted. Seems like great quality, very soft and the black colour seems to hold up well in the wash. Happy with them!",2023-12-14
D M.,5,"Fit well, very warm and comfortable. Perfect colour.",2023-12-14
Casual gaul,1,The order was confirmed and then canceled. I was offered 15% off my next order but was getting 20% off on the canceled sweatpants.,2023-12-14
TammyR,5,Tried and true - Roots - is best quality for all sweatpants and tops.,2023-12-11
Online shopper5,5,Comfortable and true to size for women. Wash and dry well,2023-12-11
SVee,5,"I love these sweatpants, they are comfortable and durable.",2023-12-09
Jacques,5,I have been buying these sweatpants for my daughter in law for years she absolutely loves them.,2023-12-07
T McD,5,"Love the fit, make sure to check the size chart. I usually wear a medium but im a true- size small in these pants. Love the colour and fleck in the pant. So comfortable.",2023-12-07
Powell,5,"The pants are well made, don’t bag or shrink. I have a pair from 2017 and two new pairs this year. Not many colour options for xs.",2023-12-07
ElaR,5,Worth every penny vs generic brands. So soft. Comfortable. Durable. Great colors available.,2023-12-06
Lindsay A,3,"Great color, but definitely an inferior quality from the last pair I purchased. They’re much thinner, and rougher, but the same price. I’m disappointed. I feel like they won’t wash or wear as well.",2023-12-05
Ontario shopper 44,2,"I have been buying these for my daughters for years. The quality and fabric has really gone downhill. They’re so thin and the fabric feels very cheap. Roots sweats used to be such nice quality, unfortunately this may be our last pair.",2023-12-06
Shan111,2,"I've been buying these sweatpants for years (potentially decades). This is the first time that the sizing has been waaaayyyy off. I think they were made for someone who's 6'5"", not someone who's 5'6"". The material and durability of these sweatpants has me coming back year after year. But the length has changed so I had to return them.",2023-12-01
A lost customer,1,I bought these a few short months ago and after 10-15 wears and a couple of washes the material is fuzzy and pilling everywhere. Very poor quality. Roots quality has gone downhill; I have other pairs from 15 years ago that are still going strong. Disappointing.,2023-12-01
Materialsucks24,3,"I absolutely love these sweatpants. They are incredibly comfortable, soft and warm. However, the material is horrible. Every single pair of these pants I have purchased has frayed in the inner thigh area after only wearing them once or twice. As a result, it causes the material to fade very fast. No other sweatpants from a h other company does this. It’s beyond frustrating to spend this kind of money on sweatpants that get ruined quickly. I’ve given up buying these pants.",2023-12-01
Canadian_girl,5,They r the most comfortable pants ever to be honest. I haven't owned a pair of roots pants since high school lol,2023-11-27
Sactowneats,1,I never received this order. It was cancelled on your end.,2023-11-27
Marion,5,"Classic Roots. Comfortable, well made and has the essential pockets. I’m 5’5”, 140 lbs and the medium is a loose, comfortable fit.",2023-11-18
Bouelle,5,Very comfortable with plenty of room. Great quality for your money.,2023-11-18
Jennafer,5,"Prime comfort, prime cuteness. Absolutely love the fit.",2023-11-17
Amy2,5,So many colors to choose from. These last for years. Just added this pair to my collection.,2023-11-15
Hala O,5,I love these pants they’re so comfortable and the color is great.,2023-11-04
Car J,5,"whats not to love - soft, warm and cozy. love roots sweatpants",2023-11-02
LKP123,2,I'm so disappointed in how huge these are. I had an older pair in a medium that fit perfect so naturally I bought the same size. After wearing them and even washing and drying them they are still so big and they stretch out every time I wear them. They fit more like an XL! This is so much money for me to spend on a pair of track pants for them to be a waste.,2023-11-01
Kamf,5,"Love them, they are so comfortable. They fit big, order down a size. Can’t go wrong with Roots sweatpants!",2023-10-29
Terese,5,They are so very soft! They fit so comfortably. My favorite sweatpants for sure!,2023-10-25
IamET,5,"I like the peppers the best. Not too thick, not too thin.",2023-10-25
Zahria,4,These are cozy. They are a bit too short for my 33 inch inseam. But I wear them low on my hips. It would be great if they came in a longer length too.,2023-10-25
Momof3kids,5,"Great quality, super comfy and warm like original Roots.",2023-10-25
Maiziepie,5,The quality I come to expect from Roots. No other sweats compare.,2023-10-24
Moth,5,"Just what I wanted. Nice weight, prefect fit. Just the ticket!",2023-10-24
Annelise,5,Super comfy fit - my old roots from 2011 died this year (2023) and these looked similar. They are both XL and I will say the new ones have a slimmer fit but the old ones were a bit too large so it worked out. They have nice pockets on the sides and are soft on the inside. Hope they last me a decade!,2023-10-21
AlannahC,5,"So in love. I bought my last pair in 2017 whilst visiting Canada, so glad they are still making them and I could get a pair to come over to Australia with my friend",2023-10-09
Ms. A,5,"Roots sweats are worth every penny! I have pieces I've had for decades. Every time I buy a new set, I think I now have all the good colors....then a new good color comes out! Fan for life!",2023-09-28
Emb4677,5,"My daughter loved her sweatpants. They were a little too big, but she’ll grow into them",2023-09-23
Cass S.,5,"Excellent quality, comfortable, classic style. I like the large number of colour options. I bought 3 different colours this time.",2023-09-21
Julie mccutcheon,3,Doesn't have the fold out hidden pocket despite being original sweats design. My other originals do. Size large fits me US size 16.,2023-09-05
Hali,5,I bought the pickled beet colour sweats along with the matching zip up and it’s been one of my favourite outfits since! super flattering and I get lots of compliments,2023-08-27
Inthe forest,4,"Leg length is nice, i find the butt area a bit tight for my liking, i have a athletic build and the buttox area is limited would be nice to have it a bit looser.
The pockets are perfectly sized. The material is excellent",2023-08-23
Shauna93,5,You can never go wrong with a black sweatpant. They are comfy and perfect for when I just want to lounge around.,2023-08-19
JHolly,5,I love the softness of these joggers! Great fit!!!,2023-08-05
Carohara,3,"Received as a gift, no receipt to return upon wearing them discovered one leg is longer than the other. Been wearing one ankle cuffed to make up for the difference.",2023-07-02
Beanie,5,"I love these and all of my other roots sweatpants tbh!! Super comfy, and actually super cute.",2023-06-29
Nica,5,"Love these sweatpants, they fit great, definitely classic fit and I got a medium, so not tight and plenty of room. Love the salt and pepper color too.",2023-06-29
villa,1,"I purchased 4 sweat pants online, and was confident doing this because roots in the past was great. They are horribly made and fit horribly, baggy in tummy area and tight in the rear area. Super long, you have to be 6' tall. They look like something you might buy from Walmart, poor quality all round and they have a scented chemical smell. They make the return process difficult, says easy return, because you have to go the store to return, why would I shop online then? Never shopping from Roots again.",2023-06-22
Beebs5,5,These are my second pair. I wore my first pair out! I love to relax in these sweats and recommend them for everyone!,2023-06-14
Mel Q,5,LOVE LOVE LOVE these pants - so soft & comfortable. Great quality! Will buy again!,2023-06-07
Flys Reach,5,Wonderful soft pants. Beautiful mauve colour. Fit is not too slim or too baggy....just perfect,2023-05-30
Bob87,1,"Material quality
The quality of the material is not what I expected for the price you pay, they pilled in the thigh area right away and didn’t even last a year
So disappointing for my first ever pair that was given to me as a gift.",2023-05-23
MirandaRose,5,Perfect birthday gift for my Mom! They shipped Canada Post and got here swiftly. They are exactly what I was hoping for.,2023-05-20
Jo62,1,Not true colour. Darker than photo. Cheap quality. And so long. Why is it you go larger size and they get longer.,2023-05-17
Ssbg888,5,"I love my Roots sweatpants. Soft, comfortable and I love the icy lavender colour. Definitely recommend getting the matching set!",2023-05-04
loveya,4,"I bought this about 6 months ago and they fit me perfectly, i got an xs and I love them so much and don’t regret buying at all! The bottom of the sweat pants are a bit big but its nothing bad. I completely recommend buying these!",2023-05-04
P47P,5,"I have the original sweatpant design in light grey, dark grey, navy, black and maroon.These are the only sweatpants I own. They are my 5 day grab and go pants all day in winter and usually evening pant for summer as the evening cools. I started with the Beaver Canoe brand and have continued to love the Roots brand for practicality and comfort.",2023-05-04
Magda1189,5,My daughter loves these. She has them in every colour and wears them every day. They wash great and fits perfectly.,2023-05-04
Seanna,5,Great product and super soft. Love wearing these sweats around the house and also out and about.,2023-05-03
Chager,5,Fantastic feel and quality on these sweats. Feel like buying 3 more!,2023-05-04
Satisfied with purchase,5,These sweatpants are so soft and comfortable. They arrived quickly and are exactly as pictured.,2023-05-04
jmack,3,I have only worn the pants twice and they have stretched alot....I also bought them extra tight thinking they would stretch a bit,2023-04-15
NDB123,5,I love my Roots original sweatpants so much! I swish I could wear them to work! I put them on as soon as I get home. Going to need another pair.,2023-04-05
Alyssa R,5,These pants are very comfortable and I wear them often.,2023-04-04
Sztravels,5,Roots sweatpants are so durable that I bought this pair to replace one that is about ten years old! The new ones are softer but otherwise the same reliable product I expect from Roots. There is also some pleasant nostalgia factor to buying this Canadian product.,2023-03-20
Caro Amanda,4,I usually wear a 1XL. I Got the XL was a little bit too big but wearable and very comfortable. I love it and definitely getting more.,2023-03-13
Ann S,1,"I’m very disappointed. I love all my previous Roots purchases, but these sweatpants are a big ‘NO’ for me. I washed them first before wearing them and I wondered why they were so scratchy on my legs. Wore them two more times and noticed they are made with recycled plastic( and cotton). Love the idea of recycling, however, my skin isn’t happy with the texture. My old Roots sweatpants will have to do for now.",2023-03-06
LeniH,5,Comfy and warm. Love the green colour. Perfect for comfy overnight flight to UK.,2023-02-27
Wellk,5,I own them in several colours and will definitely buy more.,2023-02-28
Sharen English,5,I like the salt and pepper women's track pants very much.,2023-02-23
J0RD,5,I ordered the Organic Original Sweatpant in the Cosmic Sky colour. They are so so soft. Fit is true to size. I’ve been living in them!,2023-02-22
Janette E,5,Great quality. Keeps you warm. Lasts for years and washes so well. I’ve been purchasing these sweatpants for years. Always great quality. Never disappointed,2023-02-20
Vanessa.27,5,My favourite sweatpants! Super comfortable. Would definitely recommend!,2023-02-17
Mariapia,5,"I just love the fit and the softness of these sweatpants.
I now have 3 of them❤️",2023-02-15
Misimi,5,"So comfy and warm, I really love wearing it! It was a bit tighter fitting at first, but after about 30 mins of wearing, it loosened up.",2023-02-12
Leanne Krell,5,"Not only do I own and enjoy these sweatpants, but my sister also does. I recently bought her a tall version of these sweatpants and they are the only ones that fit her long legs. Fit and style are the best!",2023-02-10
Whovius,4,"Too short for taller ladies. But I knew this and bought it anyway, because there are not many colours in the tall options. I still like them!",2023-02-09
Alex719,5,These are the most comfortable pants I’ve ever put on my body. I never want to take them off. Obsessed!,2023-02-10
Trackpants4ever,5,Great track pant! Love the colours! They wash up nicely. Not losing shape like other track pants. Thank you Roots!,2023-02-10
Rootsluva,5,"These Roots sweats are a classic essential for me - I've been buying them (or receiving them as a gift) for at least 15 years now! Probably on my 5th or 6th pair now. So soft, comfy, durable and they always fit the same - no surprises! Love me some Roots - anything!",2023-02-08
Enthusiastic about Roots,5,"I bought these sweatpants 2 years ago and have worn them a lot and they are still my go to when I want to relax and feel comfortable.
I will definitely buy another pair when they finally wear out.",2023-02-06
AuthorDeb,5,I bought these jogging pants for me and for my granddaughter last year and they are still one of my favourites.,2023-02-06
ED23,5,"Very comfortable sweatpants, fit perfectly! Roots never disappoints.",2023-02-08
SaraBee,5,I love these sweatpants! Feels so comfy and fit exactly how I wanted. Wish I'd bought them sooner.,2023-02-04
Allison23,5,Nothing beats these sweats. I buy them again and again they are cozy and the length is great.,2023-02-07
Lindsey Trinier,5,"Roots honestly has the best sweats! I live in these all winter long! So comfy and keep you nice and warm on those cold winter days! Only down side is that toots aren't made in Canada anymore, like it use yo be. Still 5 stars for quality though!!",2023-02-03
shaynote,4,"I have had a pair of these sweatpants for 4 years and they are easily the comfiest sweats I own. I hardly ever feel like I'm even wearing them that's how light they are. I can wear these out and about, lounging around the house, camping, while hiking on a chillier day, and more. Highly recommend this original, tired and true sweat for any of your needs.",2023-02-07
Michele16,5,I bought this for my daughter 6 months ago. She loves to wear these as they are so soft and comfortable. Will buy again.,2023-02-03
Jessedog,5,"Love the texture and fit of these sweat pants.
I also like the word- Roots- across the back of these!
Thank you Roots.",2023-02-03
jenn86,5,"I had these pants a long time ago, with the “roots” on the butt and I was obsessed with how comfortable they were. I could wear them anywhere, I can keep buying every pair they have!!",2023-02-02
krj2,5,These are the best! They are super soft and comfortable and they wash really well. I have a drawer dedicated just to sweatpants and I still find myself reaching for my Roots pair over and over.,2023-02-02
StacySchooon,5,"Very comfortable, best pants in my closet, very warm & durable!",2023-02-02
Fishchic,4,"Have had these for about 2 years. Worn and washed many times over and they still look like I just bought them. My only complaint is if I'm not wearing socks, the elastic at the ankle slips under my feet. For reference, I'm 5'2"", 125 lbs with a 29"" waist and 38"" hip, a small fit great (except that it was a tad long but that's to be expected given my height)",2023-02-02
AJYS,5,I bought a pair of these joggers for myself on a whim and loved them so much that I went back for another pair. They are so comfortable and I find I reach for them all the time.,2023-02-02
Em483,5,"These sweatpants may be the best clothing purchase I’ve ever bought. I wear them (very!) often and the material holds up very well. The only negative thing I have to say about them is that it begins pulling and wearing out a bit in the crotch area after a while. Other than that, I believe everyone needs a pair of these in their closet!",2023-02-02
mf23,4,"I got these for my girlfriend for Christmas and she has absolutely fallen in love with them. Although they are a bit more on the pricey side for sweats they were totally worth it, they are so soft on the inside and are just the right mix of comfortable and form-fitting for sitting around the house or going out for arrons in.",2023-02-02
Rachel24b,4,"I've had these sweats for a while now. I love them. They wash well and feel great. The only gripe I have with them, is that the pockets aren't big enough for the phones that are now on the market. My phone has dropped out of my pocket several times and it's really annoying. Maybe roots should change the poket size to accommodate the newer phones. Other than that, the pants are fantastic!",2023-02-02
FWith,5,These were my first Roots clothing purchase and I can’t believe I waited so long. Very high quality material and so comfortable.,2023-02-02
Danyelle,5,I’ve bought Roots sweat pants for years and they never disappoint. Roomy and comfortable. The perfect pants.,2023-02-02
Nicole1139,4,"I’ve owned these sweatpants for YEARS. Super cozy, and as flattering as any sweatpants could be. Only issue is that I find that every pair I have the crotch eventually wears out. I find that the fabric is thinner there(maybe for comfort?) but in the past two pairs I’ve bought that has happened. I still continue to buy them though because I love them. I hope this could be a future improvement.",2023-02-02
Dannn,5,Super comfortable! Bought one and lasted me for a few years… 2-3 even 4 years later I’m down to my 2nd pair! If I could own a thousand pairs of sweatpants I could only be wearing the Roots ones!!! Love them so much!!! I’d recommend them to other and rate them a 1000/10 beyond infinity!,2023-02-02
Britb,5,Fits true to size and are really comfy. They get even comfier as the day goes on as they stretch a bit but are a bit more form fitting when you first put them on.,2023-02-02
Badbleep03,5,"I bought these sweatpants on sale, and they are the softest, most comfiest sweats. Perfect for cold weather and staying cozy. They do fit a little bit so keep that in mind when choosing your size.",2023-02-01
Sammypanciuk,5,you cant go wrong with a pair of sweats from roots! they never disappoint! so comfortable and they last forever. roots sweats will never go out of style,2023-02-01
Dani1717,5,I bought these a month ago and they are easily my new favourite sweatpant! They keep me nice and warm and are fitted in all the right places while also being a relaxed fit.,2023-02-02
emc-s,5,I finally retired my threadbare Roots sweatpants that I’ve had for 15 years; wore them into the ground. My new pair is super soft and comfy. These babies are super durable. The quality is excellent and hasn’t changed over the years!,2023-02-02
LindsayE,5,"My daughters both love these and each one them in two colours!! Comfy and of course, classic!!",2023-02-01
Kammalamma,5,Picked this out for myself for Christmas from my grandma and I’m in love with the quality of the sweats! Very good for outdoorsy people who are busy all day or the lazy ones on a Sunday keeping it comfy before starting a new Monday.,2023-02-02
jenpelo,5,I have owned several pairs of these over the years and love them. The material and stitching is good quality. The quality holds up after several washes and not to mention they are super comfortable.,2023-02-02
Nat02,5,Can’t go wrong with classic roots pants-so cozy and comfortable,2023-02-02
Mandeepkhngura,5,I have always loved the texture of the clothes by roots. They have always succeeded in fulfilling my needs and satisfying me. I love shopping for myself and family online. I ordered this item recently and this is most favourite and most comfortable.,2023-02-02
Dopt56,5,"I have 6 different colors of these amazing sweatpants because they are simply the best. They are my go-to pants for lounging around the house. I am yet to find sweatpants that I love more than these! A little pricey by the quality is worth it. True to size, but size up for an extra roomy fit.",2023-02-02
M12-,5,"My favorite sweats ever - I love these! Comfortable, loose fit. Incredibly soft and cozy!",2023-02-02
Frugal mom,5,"6years ago I bought these pants for my daughter. She wore them through her last year in high school and all her years in university! Upon graduation she came back home....still the pants came back! They are her go to as travel pants. She says they are soooo comfy, roomy and soft. I got her a new pair last Christmas (after 6 yrs, it was about time!).",2023-02-02
Roni,5,I love it!it's so comfy and warm. I just wish that they have a petit version of this cos I'm short.,2023-02-02
Ems_0102,5,I bought this last week but I already have 1 pair.They’re so comfy and warm.best winter sweatpants.,2023-02-01
Bob12,5,"I always used to buy the cheapest clothes for myself, but always wanted the salt and pepper roots jogging pants. My husband got them for me as a gift and I will never go back!! I now have 4 pairs and they are my absolute favourite.",2023-02-02
LoLo2,4,Soft and comfy and perfect for lounging or running errands!!,2023-02-01
Ahai123,5,My friend bought me this for my birthday and I am so happy with the way it feels. I’ve never had such comfortable sweatpants!!! They feel so soft and fit perfectly!,2023-02-01
GD19,5,"Daughter loves these sweats. Some pilling between the legs after frequent wear, but still her favorite",2023-02-01
emmah,5,"LOVE LOVE LOVE
so comfy!
I have so many different colours of the original sweatpants and i love them all!",2023-02-02
ERFY,2,These sweatpants pilled in the crotch area after 1 wash.. disappointed!,2023-02-07
Dee h,5,"Pants are not true to size the are too big.
Could not find information on how to exchange them.",2023-02-01
A...,3,Very comfortable pants but the stitching in the inseam is coming off after my first wear.,2023-01-30
Anthea23,3,"The quality of the material is not what it used to be, it’s much thinner, it will be interesting to see how long these last.",2023-01-18
Hannah M,3,"Overall, really soft and great quality. Perfect length, but had a weird fit. I do not recommend the dark sea green color, it looks more forest green and does not patch anything.",2023-02-07
JAdams,5,"These track pants really are amazing. I was skeptical as to whether or not they'd really be worth the money - but they really are! I've since purchased another pair and pitched most of my other comfy pants. Life changing! Well, maybe not quite. But it's certainly heightened my comfort bar for lounge wear. Thanks Roots.",2023-01-14
Kd58535,5,"Super cozy and comfy, the green is beautiful. Wash well and super soft",2023-01-03
Andrew D,5,My wife needed a new pair and loves them. They are very comfortable.,2023-01-03
Skidgie,5,My wife loves these! So glad I ordered from Roots!,2022-12-26
gdmill,5,always the best products .Always order something for Christmas and never disappoints,2022-12-20
Wilma Flintstone,5,"Love the quality, very warm and in my opinion the best track pants, way better then all competitors!",2022-12-12
Amy CS,5,"Love this, wear it all the time. Love the fit, quality and color. I will be buying more",2022-12-14
Tara11,5,The most amazing cozy pants I have ever owned! SO soft and cozy! Great fit!,2022-12-11
Studmuffin,5,Received when promised in good condition. Good quality pants.,2022-12-06
MillieRS,5,It is perfect and so cozy so comfortable to wear for everyday I am in love! Is a bit big but at the same time fits perfect,2022-12-07
Roots Obsessed,3,"The fit has been changed from the original versions. I have 3 other pairs of theese pants and the rear area has been made smaller and front larger, which makes tbem very uncomfortable. Will be returning.",2022-11-22
Spenr,5,Fit well. Arrived in a timely manner. Was worth the money spent,2022-11-16
Courts,5,These are the comfiest sweatpants I’ve ever owned! So soft and cozy. Got my size and they are the perfect fit.,2022-11-13
Kitty Crane,5,"So in love with all my purchases. Good quality,super comfy and looks great :)",2022-11-04
Amota,5,Jist love the fit on me. I would highly recommend to buy it sgain,2022-10-30
LydiaJ,5,"So soft and amazing quality. Bought a large to wear while pregnant, and they’re perfect.",2022-10-30
CarolWelsh,5,Love the look. Order one size smaller to fit properly!,2022-10-27
CarolWelsh,5,Fit big order a size smaller. I love the colour purple.,2022-10-27
Sibel,5,"So good - so comfy - so cozy - so soft - soo warm
I liked it, you should get one immediately",2022-10-28
CS499,5,"My entire family owns at least one pair of the Cooper sweats, they’re a family favourite. I love that they’ve added more size inclusivity which is why I am just now writing a proper review. Now everyone in the family has a pair that fits them properly. No more squeezing into a smaller size to get a matching pair with family.",2022-10-04
CD M,5,I absolutely love these joggers. The pockets are perfect.,2022-09-28
helloyu,5,so soft fits great super comfortable will definitely buy again,2022-09-17
stonek,5,"So soft, cozy and well fitted, I'm really happy Roots brought back material that is predominantly cotton. I love the pockets and the color is fantastic!",2022-09-14
Rilla,5,"Amazing Colour, not to hot they keep you just warm enough! Wear them everyday if I could!",2022-09-06
